rep,I1,I2,O
1,set1,0,0,0.000210100472431321
2,set1,3.9e-07,0,0.000239772221048707
3,set1,1.6e-06,0,0.00042780702582748
4,set1,6.3e-06,0,0.00287285810866727
5,set1,2.5e-05,0,0.0720113850270985
6,set1,1e-04,0,0.455414210938461
7,set1,4e-04,0,0.52591671149118
8,set1,0.0016,0,0.530201996308194
9,set1,0,3.3e-07,0.000228206625104386
10,set1,3.9e-07,3.3e-07,0.000260435441796519
11,set1,1.6e-06,3.3e-07,0.000464674812151829
12,set1,6.3e-06,3.3e-07,0.00312043683574789
13,set1,2.5e-05,3.3e-07,0.0782172212939627
14,set1,1e-04,3.3e-07,0.494661144261903
15,set1,4e-04,3.3e-07,0.571239447615387
16,set1,0.0016,3.3e-07,0.575894032035807
17,set1,0,1.3e-06,0.000331704999032771
18,set1,3.9e-07,1.3e-06,0.000378550525996772
19,set1,1.6e-06,1.3e-06,0.000675418419797719
20,set1,6.3e-06,1.3e-06,0.00453564613696082
21,set1,2.5e-05,1.3e-06,0.11369101708503
22,set1,1e-04,1.3e-06,0.719004429884055
23,set1,4e-04,1.3e-06,0.83031323184447
24,set1,0.0016,1.3e-06,0.83707880633192
25,set1,0,5.2e-06,0.00135798570357022
26,set1,3.9e-07,5.2e-06,0.00154976923435458
27,set1,1.6e-06,5.2e-06,0.0027651333585198
28,set1,6.3e-06,5.2e-06,0.0185687361613679
29,set1,2.5e-05,5.2e-06,0.465446032697795
30,set1,1e-04,5.2e-06,2.94357257030589
31,set1,4e-04,5.2e-06,3.39926591886721
32,set1,0.0016,5.2e-06,3.42696388379745
33,set1,0,2.1e-05,0.0201189326804482
34,set1,3.9e-07,2.1e-05,0.0229602585757982
35,set1,1.6e-06,2.1e-05,0.0409662132276231
36,set1,6.3e-06,2.1e-05,0.275100946798918
37,set1,2.5e-05,2.1e-05,6.89571132715859
38,set1,1e-04,2.1e-05,43.6098393571458
39,set1,4e-04,2.1e-05,50.3610619793941
40,set1,0.0016,2.1e-05,50.7714149679065
41,set1,0,8.3e-05,0.384048488621984
42,set1,3.9e-07,8.3e-05,0.43828630198532
43,set1,1.6e-06,8.3e-05,0.782000343881269
44,set1,6.3e-06,8.3e-05,5.25137712396023
45,set1,2.5e-05,8.3e-05,131.631610644157
46,set1,1e-04,8.3e-05,832.464284272671
47,set1,4e-04,8.3e-05,961.337763080259
48,set1,0.0016,8.3e-05,969.170954211359
49,set1,0,0.00033,2.08209091117517
50,set1,3.9e-07,0.00033,2.37613726623574
51,set1,1.6e-06,0.00033,4.2395579120054
52,set1,6.3e-06,0.00033,28.4699586247113
53,set1,2.5e-05,0.00033,713.631190501341
54,set1,1e-04,0.00033,4513.14448959624
55,set1,4e-04,0.00033,5211.82266921776
56,set1,0.0016,0.00033,5254.2897444511
57,set1,0,0.0013,2.76817920429902
58,set1,3.9e-07,0.0013,3.15911938890373
59,set1,1.6e-06,0.0013,5.63657234390922
60,set1,6.3e-06,0.0013,37.8513478874453
61,set1,2.5e-05,0.0013,948.786150730555
62,set1,1e-04,0.0013,6000.31086781203
63,set1,4e-04,0.0013,6929.21670806382
64,set1,0.0016,0.0013,6985.67748693633
65,set1,0,0.0053,2.86625630996076
66,set1,3.9e-07,0.0053,3.27104757824291
67,set1,1.6e-06,0.0053,5.83627715365748
68,set1,6.3e-06,0.0053,39.1924282049446
69,set1,2.5e-05,0.0053,982.401821063994
70,set1,1e-04,0.0053,6212.90300132411
71,set1,4e-04,0.0053,7174.72014880005
72,set1,0.0016,0.0053,7233.18134360179
