rep,I1,I2,O
1,set1,0,0,807.5522333
2,set1,3.9e-07,0,1972.122233
3,set1,1.6e-06,0,8022.8589
4,set1,6.3e-06,0,12720.83223
5,set1,2.5e-05,0,13991.11557
6,set1,1e-04,0,14417.19557
7,set1,4e-04,0,14644.1889
8,set1,0.0016,0,15016.12557
9,set1,0,3.3e-07,884.9655667
10,set1,3.9e-07,3.3e-07,1670.962233
11,set1,1.6e-06,3.3e-07,6858.262233
12,set1,6.3e-06,3.3e-07,12019.8489
13,set1,2.5e-05,3.3e-07,14027.35223
14,set1,1e-04,3.3e-07,14280.49223
15,set1,4e-04,3.3e-07,14523.9889
16,set1,0.0016,3.3e-07,14913.6689
17,set1,0,1.3e-06,1048.9489
18,set1,3.9e-07,1.3e-06,2799.562233
19,set1,1.6e-06,1.3e-06,9132.345567
20,set1,6.3e-06,1.3e-06,13289.47223
21,set1,2.5e-05,1.3e-06,14308.44223
22,set1,1e-04,1.3e-06,14518.39223
23,set1,4e-04,1.3e-06,14567.66223
24,set1,0.0016,1.3e-06,14733.5089
25,set1,0,5.2e-06,3127.535567
26,set1,3.9e-07,5.2e-06,8054.422233
27,set1,1.6e-06,5.2e-06,13242.66557
28,set1,6.3e-06,5.2e-06,14935.88223
29,set1,2.5e-05,5.2e-06,14989.6089
30,set1,1e-04,5.2e-06,14712.8489
31,set1,4e-04,5.2e-06,14422.8389
32,set1,0.0016,5.2e-06,14649.75557
33,set1,0,2.1e-05,8137.875567
34,set1,3.9e-07,2.1e-05,11974.8289
35,set1,1.6e-06,2.1e-05,13759.0489
36,set1,6.3e-06,2.1e-05,14710.35557
37,set1,2.5e-05,2.1e-05,14779.9689
38,set1,1e-04,2.1e-05,14781.07223
39,set1,4e-04,2.1e-05,14284.49223
40,set1,0.0016,2.1e-05,14102.98223
41,set1,0,8.3e-05,8996.9089
42,set1,3.9e-07,8.3e-05,12041.74223
43,set1,1.6e-06,8.3e-05,13995.6689
44,set1,6.3e-06,8.3e-05,14727.3689
45,set1,2.5e-05,8.3e-05,14283.12223
46,set1,1e-04,8.3e-05,14213.69557
47,set1,4e-04,8.3e-05,14049.20557
48,set1,0.0016,8.3e-05,13953.26557
49,set1,0,0.00033,9047.565567
50,set1,3.9e-07,0.00033,11637.4889
51,set1,1.6e-06,0.00033,13779.88557
52,set1,6.3e-06,0.00033,14427.2889
53,set1,2.5e-05,0.00033,14160.28223
54,set1,1e-04,0.00033,14064.00557
55,set1,4e-04,0.00033,13833.73223
56,set1,0.0016,0.00033,13685.7089
57,set1,0,0.0013,8592.122233
58,set1,3.9e-07,0.0013,11599.15223
59,set1,1.6e-06,0.0013,13257.38223
60,set1,6.3e-06,0.0013,13985.86557
61,set1,2.5e-05,0.0013,14153.2489
62,set1,1e-04,0.0013,14028.3289
63,set1,4e-04,0.0013,13449.4489
64,set1,0.0016,0.0013,13572.91557
