I,Set2,Set3,Set4,Set5,Set6,Set7,Set8,Set9,Set10,Set11,Set12,Set13
1,0.01066,103008.7983,82228.26834,50673.94445,12446.00778,134855.42,90640.73222,2929.73903,2973.160095,5101.046474,844.3003001,5614.880391,5724.693636
2,0.00532,101786.1483,86549.11834,50113.72445,12650.15111,136439.845,90298.12556,10640.87047,16466.38383,7934.43416,1110.270721,5560.581661,8124.140681
3,0.00133,88528.31334,73463.62834,40211.70111,10017.61111,105922.75,75353.56222,9816.009194,7163.941571,6194.926311,1139.303329,9733.720823,5350.988017
4,0.000333,48413.57334,35069.70834,18903.57445,4654.834447,52134.015,34169.21889,3647.054071,3805.424777,3072.022765,298.2571758,1918.090784,1573.497398
5,8.33e-05,16143.62334,8760.533335,5203.521113,1162.411113,16582.525,8537.415557,1233.811764,1029.387194,1145.239694,63.31912245,263.3760628,324.9205755
6,2.08e-05,3841.663335,1410.023335,962.35778,170.6611133,4065.36,1427.535557,1010.182173,228.4049161,247.2220251,59.86062207,417.1222902,155.8927252
7,5.2e-06,1206.488335,415.753335,315.82778,27.15444667,1580.575,403.1222233,313.8729127,94.33747034,141.5334092,100.6961418,549.9240148,111.4667787
8,1.3e-06,664.408335,248.108335,153.4911133,33.28111333,697.485,195.0255567,241.7055946,107.2563112,72.28661244,59.58138402,94.84423256,86.98400102
9,3.25e-07,251.243335,108.048335,59.25778,20.93111333,284.52,67.92889,44.11874674,62.46816772,66.8064518,55.7149606,34.49266879,22.67658667
10,8.13e-08,73.983335,36.203335,4.531113333,-6.968886667,83.8,7.62889,9.951347077,7.787600326,44.08636384,62.93084566,11.63897762,17.92276297
