I,Set2,Set3,Set4,Set5,Set6,Set7
1,0.01066,2929.73903,2973.160095,5101.046474,844.3003001,5614.880391,5724.693636
2,0.00532,10640.87047,16466.38383,7934.43416,1110.270721,5560.581661,8124.140681
3,0.00133,9816.009194,7163.941571,6194.926311,1139.303329,9733.720823,5350.988017
4,0.000333,3647.054071,3805.424777,3072.022765,298.2571758,1918.090784,1573.497398
5,8.33e-05,1233.811764,1029.387194,1145.239694,63.31912245,263.3760628,324.9205755
6,2.08e-05,1010.182173,228.4049161,247.2220251,59.86062207,417.1222902,155.8927252
7,5.2e-06,313.8729127,94.33747034,141.5334092,100.6961418,549.9240148,111.4667787
8,1.3e-06,241.7055946,107.2563112,72.28661244,59.58138402,94.84423256,86.98400102
9,3.25e-07,44.11874674,62.46816772,66.8064518,55.7149606,34.49266879,22.67658667
10,8.13e-08,9.951347077,7.787600326,44.08636384,62.93084566,11.63897762,17.92276297
