I,Set2,Set3,Set4,Set5,Set6,Set7
1,0.01066,103008.7983,82228.26834,50673.94445,12446.00778,134855.42,90640.73222
2,0.00532,101786.1483,86549.11834,50113.72445,12650.15111,136439.845,90298.12556
3,0.00133,88528.31334,73463.62834,40211.70111,10017.61111,105922.75,75353.56222
4,0.000333,48413.57334,35069.70834,18903.57445,4654.834447,52134.015,34169.21889
5,8.33e-05,16143.62334,8760.533335,5203.521113,1162.411113,16582.525,8537.415557
6,2.08e-05,3841.663335,1410.023335,962.35778,170.6611133,4065.36,1427.535557
7,5.2e-06,1206.488335,415.753335,315.82778,27.15444667,1580.575,403.1222233
8,1.3e-06,664.408335,248.108335,153.4911133,33.28111333,697.485,195.0255567
9,3.25e-07,251.243335,108.048335,59.25778,20.93111333,284.52,67.92889
10,8.13e-08,73.983335,36.203335,4.531113333,-6.968886667,83.8,7.62889
