I,Set2,Set3,Set4,Set5,Set6,Set7
1,0.0128,433.840148,24.16967397,11.30542032,33.4263112,377.2585998,195.6546474
2,0.0064,390.8852959,33.39813704,23.99248608,18.53729532,416.2094449,156.5068426
3,0.0016,1013.39241,41.55592067,9.811836552,14.34865694,383.853328,161.0546868
4,4e-04,365.8624761,52.83403852,16.8393905,22.0569474,486.6096318,46.77704061
5,1e-04,117.1889183,12.21967863,4.034657175,23.36962554,178.3743788,38.87531571
6,2.5e-05,35.33154386,12.04170702,28.63810445,29.59449797,29.33813166,27.86561195
7,6.25e-06,3.187624171,32.07493555,42.1818905,54.77056318,29.83805463,26.29773186
8,1.5625e-06,42.65219129,22.86712016,21.05049402,33.14138425,37.93377169,15.92880004
9,3.91e-07,28.47273053,23.42643848,12.4892613,10.79150221,17.96070603,13.40079675
10,9.77e-08,12.58122866,26.66338512,14.7060043,19.6058884,17.93465432,10.87769474
