I,Set2,Set3,Set4,Set5,Set6,Set7,Set8,Set9,Set10,Set11,Set12,Set13
1,1e-07,113388.6983,77302.62333,52002.72833,2016.263331,129668.6833,32371.36333,4791.19682,1853.628922,1822.119002,50.96462691,17550.55662,746.6229069
2,2.5e-08,118690.3033,76559.72583,49652.15833,1955.618331,145235.8858,30666.29833,5736.093708,5681.724776,866.8649733,37.41573131,6344.630843,511.5074597
3,6.25e-09,97120.70833,63677.88583,39488.88083,1575.958331,109633.9233,24021.12083,7809.351068,7662.434512,3992.950604,112.0420881,12138.80887,3111.750942
4,1.563e-09,32408.32583,20781.33333,11321.56583,419.8408308,35608.58083,6577.708331,10508.7433,7879.940453,3306.863391,145.9927536,13469.24372,2760.632205
5,3.91e-10,6524.340832,4216.493332,2422.025831,97.68083075,7986.285831,1406.268331,1735.843912,1420.139952,585.9042972,42.68678176,2199.549491,455.2420407
6,9.77e-11,2528.385832,1948.573332,1113.858331,78.94583075,3712.175831,641.8983308,629.3225555,461.5330364,255.1117111,31.91141665,817.4368087,151.2132329
7,2.44e-11,1476.773332,995.7158315,664.0533308,64.35083075,1962.520831,347.4558308,192.4470353,121.8072839,87.23215279,33.60483663,247.071543,36.8964893
8,6.1e-12,1203.138332,799.3633315,538.1258308,53.92083075,1545.358331,272.2558308,97.20311708,64.32814468,53.29398986,16.28490001,137.5419946,26.3466234
9,1.53e-12,1159.168332,790.7008315,512.0083308,60.29333075,1538.195831,273.3933308,72.98713989,51.22924453,48.9069183,27.96134724,128.920615,27.74391448
10,3.81e-13,1087.835832,764.3508315,487.8383308,40.32833075,1488.325831,249.0983308,98.34625366,63.84683222,34.67856727,22.52727936,160.2195985,20.04555926
